trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
50.79262543,15.78174782,FunBox2-0C4E,2,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,44:AD:B1:8B:0C:4E,,infra,,2,0,?,?,?,False,1,0,wpa2,PL,województwo dolnośląskie,Turystyczna,Ścięgny,,58-534
50.79269409,15.78098583,FunBox2-0C4E_5GHz,4,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,44:AD:B1:8B:0C:4F,,infra,,2,0,?,?,?,False,100,0,wpa2,PL,województwo dolnośląskie,,Ścięgny,82,58-534
50.79275131,15.77737522,FunBox2-Kris,4,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,44:AD:B1:FC:3E:49,,infra,,2,0,?,?,?,False,1,0,wpa2,PL,województwo dolnośląskie,Turystyczna,Ścięgny,1,58-534
50.82833481,15.72181702,AndroidAuto_5008,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,44:EB:2E:04:50:08,,infra,,2,0,?,?,?,True,149,0,wpa2,PL,województwo dolnośląskie,Tyrolska,Sosnówka,,58-564
50.79160309,15.80435085,Hyundai_kpCQ,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,48:7A:FF:9C:B7:64,,infra,,2,0,?,?,?,True,149,0,wpa2,PL,województwo dolnośląskie,Karpacka,,3,58-530
50.77855682,15.72564316,smartBox-5331,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,48:8F:4C:77:F5:29,,infra,,2,0,?,?,?,False,149,0,wpa2,PL,województwo dolnośląskie,Na Śnieżkę,,2,58-540
50.80466843,15.7049017,Hotel Seidorf,2,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,48:8F:5A:2C:13:1C,,infra,,2,0,?,?,?,True,1,0,wpa2,PL,województwo dolnośląskie,Muflonowa,,,58-564
50.79132462,15.7750988,Dom,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,48:A9:8A:51:52:24,,infra,,2,0,?,?,?,False,9,0,wpa2,PL,województwo dolnośląskie,Turystyczna,Ścięgny,,58-534
50.78157043,15.74304771,DIRECT-68-HP M227f LaserJet,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,4A:5F:99:10:97:68,,infra,,2,0,?,?,?,False,6,0,wpa2,PL,województwo dolnośląskie,Myśliwska,,22,58-540
50.80466843,15.70490265,Biznes Hotel Seidorf,2,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,4A:8F:5A:2C:13:1D,,infra,,2,0,?,?,?,True,1,0,wpa2,PL,województwo dolnośląskie,Muflonowa,,,58-564
